class	property	type	description
Blog	issn	Text	The International Standard Serial Number (ISSN) that identifies this serial publication. You can repeat this property to identify different formats of, or the linking ISSN (ISSN-L) for, this serial publication.
MusicRecording	isrcCode	Text	The International Standard Recording Code for the recording.
Place	isicV4	Text	The International Standard of Industrial Classification of All Economic Activities (ISIC), Revision 4 code for a particular organization, business person, or place.
Person	isicV4	Text	The International Standard of Industrial Classification of All Economic Activities (ISIC), Revision 4 code for a particular organization, business person, or place.
Organization	isicV4	Text	The International Standard of Industrial Classification of All Economic Activities (ISIC), Revision 4 code for a particular organization, business person, or place.
Book	isbn	Text	The ISBN of the book.
ProductModel	isVariantOf	ProductModel	A pointer to a base product from which this product is a variant. It is safe to infer that the variant inherits all product features from the base model, unless defined locally. This is not transitive.
Service	isSimilarTo	Service	A pointer to another, functionally similar product (or multiple products).
Service	isSimilarTo	Product	A pointer to another, functionally similar product (or multiple products).
Product	isSimilarTo	Service	A pointer to another, functionally similar product (or multiple products).
Product	isSimilarTo	Product	A pointer to another, functionally similar product (or multiple products).
Service	isRelatedTo	Service	A pointer to another, somehow related product (or multiple products).
Service	isRelatedTo	Product	A pointer to another, somehow related product (or multiple products).
Product	isRelatedTo	Service	A pointer to another, somehow related product (or multiple products).
Product	isRelatedTo	Product	A pointer to another, somehow related product (or multiple products).
CreativeWork	isPartOf	CreativeWork	Indicates an item or CreativeWork that this item, or CreativeWork (in some sense), is part of.
BroadcastEvent	isLiveBroadcast	Boolean	True is the broadcast is of a live event.
Order	isGift	Boolean	Was the offer accepted as a gift for someone other than the buyer.
CreativeWork	isFamilyFriendly	Boolean	Indicates whether this content is family friendly.
Product	isConsumableFor	Product	A pointer to another product (or multiple products) for which this product is a consumable.
CreativeWork	isBasedOnUrl	URL	A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html.
CreativeWork	isBasedOnUrl	Product	A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html.
CreativeWork	isBasedOnUrl	CreativeWork	A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html.
CreativeWork	isBasedOn	URL	A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html.
CreativeWork	isBasedOn	Product	A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html.
CreativeWork	isBasedOn	CreativeWork	A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html.
Product	isAccessoryOrSparePartFor	Product	A pointer to another product (or multiple products) for which this product is an accessory or spare part.
PublicationEvent	isAccessibleForFree	Boolean	A flag to signal that the item, event, or place is accessible for free.
Place	isAccessibleForFree	Boolean	A flag to signal that the item, event, or place is accessible for free.
Event	isAccessibleForFree	Boolean	A flag to signal that the item, event, or place is accessible for free.
CreativeWork	isAccessibleForFree	Boolean	A flag to signal that the item, event, or place is accessible for free.
SomeProducts	inventoryLevel	QuantitativeValue	The current approximate inventory level for the item or items.
Offer	inventoryLevel	QuantitativeValue	The current approximate inventory level for the item or items.
Demand	inventoryLevel	QuantitativeValue	The current approximate inventory level for the item or items.
FinancialProduct	interestRate	QuantitativeValue	The interest rate, charged or paid, applicable to the financial product. Note: This is different from the calculated annualPercentageRate.
FinancialProduct	interestRate	Number	The interest rate, charged or paid, applicable to the financial product. Note: This is different from the calculated annualPercentageRate.
CreativeWork	interactivityType	Text	The predominant mode of learning supported by the learning resource. Acceptable values are 'active', 'expositive', or 'mixed'.
InteractionCounter	interactionType	Action	The Action representing the type of interaction. For up votes, +1s, etc. use [[LikeAction]]. For down votes use [[DislikeAction]]. Otherwise, use the most specific Action.
CreativeWork	interactionStatistic	InteractionCounter	The number of interactions for the CreativeWork using the WebSite or SoftwareApplication. The most specific child type of InteractionCounter should be used.
InteractionCounter	interactionService	WebSite	The WebSite or SoftwareApplication where the interactions took place.
InteractionCounter	interactionService	SoftwareApplication	The WebSite or SoftwareApplication where the interactions took place.
Action	instrument	Thing	The object that helped the agent perform the action. e.g. John wrote a book with *a pen*.
CourseInstance	instructor	Person	A person assigned to instruct or provide instructional assistance for the [[CourseInstance]].
SoftwareApplication	installUrl	URL	URL at which the app may be installed, if different from the URL of the item.
Recipe	ingredients	Text	A single ingredient used in the recipe, e.g. sugar, flour or garlic.
Offer	ineligibleRegion	Text	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"
Offer	ineligibleRegion	Place	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"
Offer	ineligibleRegion	GeoShape	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"
Demand	ineligibleRegion	Text	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"
Demand	ineligibleRegion	Place	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"
Demand	ineligibleRegion	GeoShape	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"
DeliveryChargeSpecification	ineligibleRegion	Text	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"
DeliveryChargeSpecification	ineligibleRegion	Place	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"
DeliveryChargeSpecification	ineligibleRegion	GeoShape	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.\n\nSee also [[eligibleRegion]].
"
JobPosting	industry	Text	The industry associated with the job position.
Offer	includesObject	TypeAndQuantityNode	This links to a node or nodes indicating the exact quantity of the products included in the offer.
Demand	includesObject	TypeAndQuantityNode	This links to a node or nodes indicating the exact quantity of the products included in the offer.
Dataset	includedInDataCatalog	DataCatalog	A data catalog which contains this dataset.
Dataset	includedDataCatalog	DataCatalog	A data catalog which contains this dataset (this property was previously 'catalog', preferred name is now 'includedInDataCatalog').
MusicComposition	includedComposition	MusicComposition	Smaller compositions included in this work (e.g. a movement in a symphony).
JobPosting	incentives	Text	Description of bonus and commission compensation aspects of the job.
JobPosting	incentiveCompensation	Text	Description of bonus and commission compensation aspects of the job.
MusicRecording	inPlaylist	MusicPlaylist	The playlist to which this recording belongs.
WriteAction	inLanguage	Text	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].
WriteAction	inLanguage	Language	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].
Event	inLanguage	Text	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].
Event	inLanguage	Language	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].
CreativeWork	inLanguage	Text	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].
CreativeWork	inLanguage	Language	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].
CommunicateAction	inLanguage	Text	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].
CommunicateAction	inLanguage	Language	The language of the content or performance or used in an action. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[availableLanguage]].
BroadcastChannel	inBroadcastLineup	CableOrSatelliteService	The CableOrSatelliteService offering the channel.
MusicRecording	inAlbum	MusicAlbum	The album to which this recording belongs.
Thing	image	URL	An image of the item. This can be a [[URL]] or a fully described [[ImageObject]].
Thing	image	ImageObject	An image of the item. This can be a [[URL]] or a fully described [[ImageObject]].
Book	illustrator	Person	The illustrator of the book.
Thing	identifier	URL	"The identifier property represents any kind of identifier for any kind of [[Thing]], such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See [background notes](/docs/datamodel.html#identifierBg) for more details.
"
Thing	identifier	Text	"The identifier property represents any kind of identifier for any kind of [[Thing]], such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See [background notes](/docs/datamodel.html#identifierBg) for more details.
"
Thing	identifier	PropertyValue	"The identifier property represents any kind of identifier for any kind of [[Thing]], such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See [background notes](/docs/datamodel.html#identifierBg) for more details.
"
Airport	icaoCode	Text	ICAO identifier for an airport.
Airport	iataCode	Text	IATA identifier for an airline or airport.
Airline	iataCode	Text	IATA identifier for an airline or airport.
EntryPoint	httpMethod	Text	An HTTP method that specifies the appropriate HTTP method for a request to an HTTP EntryPoint. Values are capitalized strings as used in HTTP.
Service	hoursAvailable	OpeningHoursSpecification	The hours during which this service or contact is available.
LocationFeatureSpecification	hoursAvailable	OpeningHoursSpecification	The hours during which this service or contact is available.
ContactPoint	hoursAvailable	OpeningHoursSpecification	The hours during which this service or contact is available.
ProgramMembership	hostingOrganization	Organization	The organization (airline, travelers' club, etc.) the membership is made with.
Person	honorificSuffix	Text	An honorific suffix preceding a Person's name such as M.D. /PhD/MSCSW.
Person	honorificPrefix	Text	An honorific prefix preceding a Person's name such as Dr/Mrs/Mr.
SportsEvent	homeTeam	SportsTeam	The home team in a sports event.
SportsEvent	homeTeam	Person	The home team in a sports event.
Person	homeLocation	Place	A contact location for a person's residence.
Person	homeLocation	ContactPoint	A contact location for a person's residence.
JobPosting	hiringOrganization	Organization	Organization offering the job position.
AggregateOffer	highPrice	Text	The highest price of all offers available.
AggregateOffer	highPrice	Number	The highest price of all offers available.
VisualArtwork	height	QuantitativeValue	The height of the item.
VisualArtwork	height	Distance	The height of the item.
Product	height	QuantitativeValue	The height of the item.
Product	height	Distance	The height of the item.
Person	height	QuantitativeValue	The height of the item.
Person	height	Distance	The height of the item.
MediaObject	height	QuantitativeValue	The height of the item.
MediaObject	height	Distance	The height of the item.
CreativeWork	headline	Text	Headline of the article.
CreativeWork	hasPart	CreativeWork	Indicates an item or CreativeWork that is part of this item, or CreativeWork (in some sense).
Person	hasPOS	Place	Points-of-Sales operated by the organization or person.
Organization	hasPOS	Place	Points-of-Sales operated by the organization or person.
Service	hasOfferCatalog	OfferCatalog	Indicates an OfferCatalog listing for this Organization, Person, or Service.
Person	hasOfferCatalog	OfferCatalog	Indicates an OfferCatalog listing for this Organization, Person, or Service.
Organization	hasOfferCatalog	OfferCatalog	Indicates an OfferCatalog listing for this Organization, Person, or Service.
MenuSection	hasMenuSection	MenuSection	A subgrouping of the menu (by dishes, course, serving time period, etc.).
Menu	hasMenuSection	MenuSection	A subgrouping of the menu (by dishes, course, serving time period, etc.).
MenuSection	hasMenuItem	MenuItem	A food or drink item contained in a menu or menu section.
Menu	hasMenuItem	MenuItem	A food or drink item contained in a menu or menu section.
FoodEstablishment	hasMenu	URL	Either the actual menu as a structured representation, as text, or a URL of the menu.
FoodEstablishment	hasMenu	Text	Either the actual menu as a structured representation, as text, or a URL of the menu.
FoodEstablishment	hasMenu	Menu	Either the actual menu as a structured representation, as text, or a URL of the menu.
Place	hasMap	URL	A URL to a map of the place.
Place	hasMap	Map	A URL to a map of the place.
DigitalDocument	hasDigitalDocumentPermission	DigitalDocumentPermission	"A permission related to the access to this document (e.g. permission to read or write an electronic document). For a public document, specify a grantee with an Audience with audienceType equal to ""public""."
ParcelDelivery	hasDeliveryMethod	DeliveryMethod	Method used for delivery or shipping.
DeliveryEvent	hasDeliveryMethod	DeliveryMethod	Method used for delivery or shipping.
Course	hasCourseInstance	CourseInstance	An offering of the course at a specific time and place or through specific media or mode of study or to a specific section of students.
Product	gtin8	Text	The [GTIN-8](http://apps.gs1.org/GDD/glossary/Pages/GTIN-8.aspx) code of the product, or the product to which the offer refers. This code is also known as EAN/UCC-8 or 8-digit EAN. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.
Offer	gtin8	Text	The [GTIN-8](http://apps.gs1.org/GDD/glossary/Pages/GTIN-8.aspx) code of the product, or the product to which the offer refers. This code is also known as EAN/UCC-8 or 8-digit EAN. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.
Demand	gtin8	Text	The [GTIN-8](http://apps.gs1.org/GDD/glossary/Pages/GTIN-8.aspx) code of the product, or the product to which the offer refers. This code is also known as EAN/UCC-8 or 8-digit EAN. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.
Product	gtin14	Text	The [GTIN-14](http://apps.gs1.org/GDD/glossary/Pages/GTIN-14.aspx) code of the product, or the product to which the offer refers. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.
Offer	gtin14	Text	The [GTIN-14](http://apps.gs1.org/GDD/glossary/Pages/GTIN-14.aspx) code of the product, or the product to which the offer refers. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.
Demand	gtin14	Text	The [GTIN-14](http://apps.gs1.org/GDD/glossary/Pages/GTIN-14.aspx) code of the product, or the product to which the offer refers. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.
Product	gtin13	Text	The [GTIN-13](http://apps.gs1.org/GDD/glossary/Pages/GTIN-13.aspx) code of the product, or the product to which the offer refers. This is equivalent to 13-digit ISBN codes and EAN UCC-13. Former 12-digit UPC codes can be converted into a GTIN-13 code by simply adding a preceeding zero. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.
Offer	gtin13	Text	The [GTIN-13](http://apps.gs1.org/GDD/glossary/Pages/GTIN-13.aspx) code of the product, or the product to which the offer refers. This is equivalent to 13-digit ISBN codes and EAN UCC-13. Former 12-digit UPC codes can be converted into a GTIN-13 code by simply adding a preceeding zero. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.
Demand	gtin13	Text	The [GTIN-13](http://apps.gs1.org/GDD/glossary/Pages/GTIN-13.aspx) code of the product, or the product to which the offer refers. This is equivalent to 13-digit ISBN codes and EAN UCC-13. Former 12-digit UPC codes can be converted into a GTIN-13 code by simply adding a preceeding zero. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.
Product	gtin12	Text	The [GTIN-12](http://apps.gs1.org/GDD/glossary/Pages/GTIN-12.aspx) code of the product, or the product to which the offer refers. The GTIN-12 is the 12-digit GS1 Identification Key composed of a U.P.C. Company Prefix, Item Reference, and Check Digit used to identify trade items. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.
Offer	gtin12	Text	The [GTIN-12](http://apps.gs1.org/GDD/glossary/Pages/GTIN-12.aspx) code of the product, or the product to which the offer refers. The GTIN-12 is the 12-digit GS1 Identification Key composed of a U.P.C. Company Prefix, Item Reference, and Check Digit used to identify trade items. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.
Demand	gtin12	Text	The [GTIN-12](http://apps.gs1.org/GDD/glossary/Pages/GTIN-12.aspx) code of the product, or the product to which the offer refers. The GTIN-12 is the 12-digit GS1 Identification Key composed of a U.P.C. Company Prefix, Item Reference, and Check Digit used to identify trade items. See [GS1 GTIN Summary](http://www.gs1.org/barcodes/technical/idkeys/gtin) for more details.
QualitativeValue	greaterOrEqual	QualitativeValue	This ordering relation for qualitative values indicates that the subject is greater than or equal to the object.
QualitativeValue	greater	QualitativeValue	This ordering relation for qualitative values indicates that the subject is greater than the object.
DigitalDocumentPermission	grantee	Person	The person, organization, contact point, or audience that has been granted this permission.
DigitalDocumentPermission	grantee	Organization	The person, organization, contact point, or audience that has been granted this permission.
DigitalDocumentPermission	grantee	ContactPoint	The person, organization, contact point, or audience that has been granted this permission.
DigitalDocumentPermission	grantee	Audience	The person, organization, contact point, or audience that has been granted this permission.
Place	globalLocationNumber	Text	The [Global Location Number](http://www.gs1.org/gln) (GLN, sometimes also referred to as International Location Number or ILN) of the respective organization, person, or place. The GLN is a 13-digit number used to identify parties and physical locations.
Person	globalLocationNumber	Text	The [Global Location Number](http://www.gs1.org/gln) (GLN, sometimes also referred to as International Location Number or ILN) of the respective organization, person, or place. The GLN is a 13-digit number used to identify parties and physical locations.
Organization	globalLocationNumber	Text	The [Global Location Number](http://www.gs1.org/gln) (GLN, sometimes also referred to as International Location Number or ILN) of the respective organization, person, or place. The GLN is a 13-digit number used to identify parties and physical locations.
Person	givenName	Text	Given name. In the U.S., the first name of a Person. This can be used along with familyName instead of the name property.
Audience	geographicArea	AdministrativeArea	The geographic area associated with the audience.
GeoCircle	geoRadius	Text	Indicates the approximate radius of a GeoCircle (metres unless indicated otherwise via Distance notation).
GeoCircle	geoRadius	Number	Indicates the approximate radius of a GeoCircle (metres unless indicated otherwise via Distance notation).
GeoCircle	geoRadius	Distance	Indicates the approximate radius of a GeoCircle (metres unless indicated otherwise via Distance notation).
GeoCircle	geoMidpoint	GeoCoordinates	Indicates the GeoCoordinates at the centre of a GeoShape e.g. GeoCircle.
Place	geo	GeoShape	The geo coordinates of the place.
Place	geo	GeoCoordinates	The geo coordinates of the place.
MusicGroup	genre	URL	Genre of the creative work, broadcast channel or group.
MusicGroup	genre	Text	Genre of the creative work, broadcast channel or group.
CreativeWork	genre	URL	Genre of the creative work, broadcast channel or group.
CreativeWork	genre	Text	Genre of the creative work, broadcast channel or group.
BroadcastChannel	genre	URL	Genre of the creative work, broadcast channel or group.
BroadcastChannel	genre	Text	Genre of the creative work, broadcast channel or group.
Person	gender	Text	Gender of the person. While http://schema.org/Male and http://schema.org/Female may be used, text strings are also acceptable for people who do not identify as a binary gender.
Person	gender	GenderType	Gender of the person. While http://schema.org/Male and http://schema.org/Female may be used, text strings are also acceptable for people who do not identify as a binary gender.
VideoGame	gameTip	CreativeWork	Links to tips, tactics, etc.
VideoGame	gameServer	GameServer	The server on which  it is possible to play the game.
VideoGameSeries	gamePlatform	URL	"The electronic systems used to play <a href=""http://en.wikipedia.org/wiki/Category:Video_game_platforms"">video games</a>."
VideoGameSeries	gamePlatform	Thing	"The electronic systems used to play <a href=""http://en.wikipedia.org/wiki/Category:Video_game_platforms"">video games</a>."
VideoGameSeries	gamePlatform	Text	"The electronic systems used to play <a href=""http://en.wikipedia.org/wiki/Category:Video_game_platforms"">video games</a>."
VideoGame	gamePlatform	URL	"The electronic systems used to play <a href=""http://en.wikipedia.org/wiki/Category:Video_game_platforms"">video games</a>."
VideoGame	gamePlatform	Thing	"The electronic systems used to play <a href=""http://en.wikipedia.org/wiki/Category:Video_game_platforms"">video games</a>."
VideoGame	gamePlatform	Text	"The electronic systems used to play <a href=""http://en.wikipedia.org/wiki/Category:Video_game_platforms"">video games</a>."
VideoGameSeries	gameLocation	URL	Real or fictional location of the game (or part of game).
VideoGameSeries	gameLocation	PostalAddress	Real or fictional location of the game (or part of game).
VideoGameSeries	gameLocation	Place	Real or fictional location of the game (or part of game).
Game	gameLocation	URL	Real or fictional location of the game (or part of game).
Game	gameLocation	PostalAddress	Real or fictional location of the game (or part of game).
Game	gameLocation	Place	Real or fictional location of the game (or part of game).
VideoGameSeries	gameItem	Thing	An item is an object within the game world that can be collected by a player or, occasionally, a non-player character.
Game	gameItem	Thing	An item is an object within the game world that can be collected by a player or, occasionally, a non-player character.
GameServer	game	VideoGame	Video game which is played on this server.
Person	funder	Person	A person or organization that supports (sponsors) something through some kind of financial contribution.
Person	funder	Organization	A person or organization that supports (sponsors) something through some kind of financial contribution.
Organization	funder	Person	A person or organization that supports (sponsors) something through some kind of financial contribution.
Organization	funder	Organization	A person or organization that supports (sponsors) something through some kind of financial contribution.
Event	funder	Person	A person or organization that supports (sponsors) something through some kind of financial contribution.
Event	funder	Organization	A person or organization that supports (sponsors) something through some kind of financial contribution.
CreativeWork	funder	Person	A person or organization that supports (sponsors) something through some kind of financial contribution.
CreativeWork	funder	Organization	A person or organization that supports (sponsors) something through some kind of financial contribution.
Vehicle	fuelType	URL	The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.
Vehicle	fuelType	Text	The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.
Vehicle	fuelType	QualitativeValue	The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.
EngineSpecification	fuelType	URL	The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.
EngineSpecification	fuelType	Text	The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.
EngineSpecification	fuelType	QualitativeValue	The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.
Vehicle	fuelEfficiency	QuantitativeValue	"The distance traveled per unit of fuel used; most commonly miles per gallon (mpg) or kilometers per liter (km/L).\n\n* Note 1: There are unfortunately no standard unit codes for miles per gallon or kilometers per liter. Use [[unitText]] to indicate the unit of measurement, e.g. mpg or km/L.\n* Note 2: There are two ways of indicating the fuel consumption, [[fuelConsumption]] (e.g. 8 liters per 100 km) and [[fuelEfficiency]] (e.g. 30 miles per gallon). They are reciprocal.\n* Note 3: Often, the absolute value is useful only when related to driving speed (""at 80 km/h"") or usage pattern (""city traffic""). You can use [[valueReference]] to link the value for the fuel economy to another value."
Vehicle	fuelConsumption	QuantitativeValue	"The amount of fuel consumed for traveling a particular distance or temporal duration with the given vehicle (e.g. liters per 100 km).\n\n* Note 1: There are unfortunately no standard unit codes for liters per 100 km.  Use [[unitText]] to indicate the unit of measurement, e.g. L/100 km.\n* Note 2: There are two ways of indicating the fuel consumption, [[fuelConsumption]] (e.g. 8 liters per 100 km) and [[fuelEfficiency]] (e.g. 30 miles per gallon). They are reciprocal.\n* Note 3: Often, the absolute value is useful only when related to driving speed (""at 80 km/h"") or usage pattern (""city traffic""). You can use [[valueReference]] to link the value for the fuel consumption to another value."
TransferAction	fromLocation	Place	A sub property of location. The original location of the object or the agent before the action.
MoveAction	fromLocation	Place	A sub property of location. The original location of the object or the agent before the action.
ExerciseAction	fromLocation	Place	A sub property of location. The original location of the object or the agent before the action.
PublicationEvent	free	Boolean	A flag to signal that the item, event, or place is accessible for free.
Organization	foundingLocation	Place	The place where the Organization was founded.
Organization	foundingDate	Date	The date that this organization was founded.
Organization	founders	Person	A person who founded this organization.
Organization	founder	Person	A person who founded this organization.
CookAction	foodEvent	FoodEvent	A sub property of location. The specific food event where the action occurred.
CookAction	foodEstablishment	Place	A sub property of location. The specific food establishment where the action occurred.
CookAction	foodEstablishment	FoodEstablishment	A sub property of location. The specific food establishment where the action occurred.
Person	follows	Person	The most generic uni-directional social relation.
FollowAction	followee	Person	A sub property of object. The person or organization being followed.
FollowAction	followee	Organization	A sub property of object. The person or organization being followed.
Accommodation	floorSize	QuantitativeValue	"The size of the accommodation, e.g. in square meter or squarefoot.
Typical unit code(s): MTK for square meter, FTK for square foot, or YDK for square yard"
Flight	flightNumber	Text	The unique identifier for a flight including the airline IATA code. For example, if describing United flight 110, where the IATA code for United is 'UA', the flightNumber is 'UA110'.
Flight	flightDistance	Text	The distance of the flight.
Flight	flightDistance	Distance	The distance of the flight.
MusicComposition	firstPerformance	Event	The date and place the work was first performed.
SoftwareApplication	fileSize	Text	Size of the application / package (e.g. 18MB). In the absence of a unit (MB, KB etc.), KB will be assumed.
CreativeWork	fileFormat	URL	Media type, typically MIME format (see [IANA site](http://www.iana.org/assignments/media-types/media-types.xhtml)) of the content e.g. application/zip of a SoftwareApplication binary. In cases where a CreativeWork has several media type representations, 'encoding' can be used to indicate each MediaObject alongside particular fileFormat information. Unregistered or niche file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia entry.
CreativeWork	fileFormat	Text	Media type, typically MIME format (see [IANA site](http://www.iana.org/assignments/media-types/media-types.xhtml)) of the content e.g. application/zip of a SoftwareApplication binary. In cases where a CreativeWork has several media type representations, 'encoding' can be used to indicate each MediaObject alongside particular fileFormat information. Unregistered or niche file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia entry.
NutritionInformation	fiberContent	Mass	The number of grams of fiber.
FinancialService	feesAndCommissionsSpecification	URL	Description of fees, commissions, and other terms applied either to a class of financial product, or by a financial service organization.
FinancialService	feesAndCommissionsSpecification	Text	Description of fees, commissions, and other terms applied either to a class of financial product, or by a financial service organization.
FinancialProduct	feesAndCommissionsSpecification	URL	Description of fees, commissions, and other terms applied either to a class of financial product, or by a financial service organization.
FinancialProduct	feesAndCommissionsSpecification	Text	Description of fees, commissions, and other terms applied either to a class of financial product, or by a financial service organization.
SoftwareApplication	featureList	URL	Features or modules provided by this application (and possibly required by other applications).
SoftwareApplication	featureList	Text	Features or modules provided by this application (and possibly required by other applications).
Place	faxNumber	Text	The fax number.
Person	faxNumber	Text	The fax number.
Organization	faxNumber	Text	The fax number.
ContactPoint	faxNumber	Text	The fax number.
NutritionInformation	fatContent	Mass	The number of grams of fat.
Person	familyName	Text	Family name. In the U.S., the last name of an Person. This can be used along with givenName instead of the name property.
CreativeWork	expires	Date	Date the content expires and is no longer useful or available. For example a [[VideoObject]] or [[NewsArticle]] whose availability or relevance is time-limited, or a [[ClaimReview]] fact check whose publisher wants to indicate that it may no longer be relevant (or helpful to highlight) after some date.
JobPosting	experienceRequirements	Text	Description of skills and experience needed for the position.
ConsumeAction	expectsAcceptanceOf	Offer	An Offer which must be accepted before the user can perform the Action. For example, the user may need to buy a movie before being able to watch it.
ParcelDelivery	expectedArrivalUntil	DateTime	The latest date the package may arrive.
ParcelDelivery	expectedArrivalFrom	DateTime	The earliest date the package may arrive.
ImageObject	exifData	Text	exif data for this object.
ImageObject	exifData	PropertyValue	exif data for this object.
ExerciseAction	exerciseCourse	Place	A sub property of location. The course where this action was taken.
APIReference	executableLibraryName	Text	Library file name e.g., mscorlib.dll, system.web.dll.
CreativeWork	exampleOfWork	CreativeWork	A creative work that this work is an example/instance/realization/derivation of.
Place	events	Event	Upcoming or past events associated with this place or organization.
Organization	events	Event	Upcoming or past events associated with this place or organization.
